username,comment,rating,likes,create_time,comment_clean
e*****s,barang sesuai dengan deskripsi produk semoga bermanfaat......,4,0,1761101967,barang sesuai dengan deskripsi produk semoga bermanfaat
m*****u,"Ok, tq",5,0,1760601049,ok tq
wbone85,"Panik karena laptopnya ga bisa nyalaaa
Pas di perbaiki lagi ditoko terdekat, alhamdulillah bisa",3,0,1761581761,panik karena laptopnya ga bisa nyalaaa pas di perbaiki lagi ditoko terdekat alhamdulillah bisa
andrewumboh7,Terbaik sangat profesional Zig zag. TUHAN berkati,5,0,1765275277,terbaik sangat profesional zig zag tuhan berkati
arjomfals,"Fungsi:gd
Kondisi Barang:ok
Desain:bg

Ok",4,0,1758154094,fungsi gd kondisi barang ok desain bg ok
ripai52,Kondisi Barang:rusak kecewa berat pokoknya,1,3,1763136646,kondisi barang rusak kecewa berat pokoknya
t*****1,"Fungsi:mulu
Kondisi Barang:baik
Desain:baik",5,0,1757513463,fungsi mulu kondisi barang baik desain baik
millahnwdtl53,"Barang diterima dengan kondisi baik, ada lecet di dekat keyboard sedikit tapi gapapa namanya jg second. Untuk trackpad berfungsi dengan baik, keyboard semua berfungsi tidak ada yg ngambek wkwk, untuk bagian memory sesuai pesanan, cuma minus dibagian layar macbook ada garis dibagian tengah lumayan panjang dan sebelak kiri tapi gapapa banget soalnya ga kelihatan saat dah nyala. Semoga panjang umurnya nih macbook murmer. Makasih seller baik hati, sukses selalu",5,0,1762748661,barang diterima dengan kondisi baik ada lecet di dekat keyboard sedikit tapi gapapa namanya jg second untuk trackpad berfungsi dengan baik keyboard semua berfungsi tidak ada yg ngambek wkwk untuk bagian memory sesuai pesanan cuma minus dibagian layar macbook ada garis dibagian tengah lumayan panjang dan sebelak kiri tapi gapapa banget soalnya ga kelihatan saat dah nyala semoga panjang umurnya nih macbook murmer makasih seller baik hati sukses selalu
yosef_osi_bnani,"Fungsi:komponen berfungsi. cuma belum tahu password utk buka 🙏
Kondisi Barang:kondisi barang baik.
Desain:baik

Semoga tahan lama. Belum coba adaptor. Semoga berfungsi dengan baik. Terimakasih 🙏",5,0,1758425742,fungsi komponen berfungsi cuma belum tahu password utk buka kondisi barang kondisi barang baik desain baik semoga tahan lama belum coba adaptor semoga berfungsi dengan baik terimakasih
novan4848,"Alhamdulillah sesuai dan befungsi baik, terima kasih seller",5,0,1758793501,alhamdulillah sesuai dan befungsi baik terima kasih seller
s*****1,"Fungsi:barang berfungsi dengan normal
Kondisi Barang:barang sesuai dgn deskripsi, bagus dengan harga terjangkau, seller fastrespon, mantapp next order lagi",5,0,1764765731,fungsi barang berfungsi dengan normal kondisi barang barang sesuai dgn deskripsi bagus dengan harga terjangkau seller fastrespon mantapp next order lagi
